Tanggal,Periode,Lokasi,PH ,BOD (mg/L),COD (mg/L),TSS (mg/L),DO (mg/L),NO (mg/L),TOTAL PHOSPHATmg/L,FECAL COLIFORMMPN/100 mL,TOTAL COLIFORMMPN/100 mL,TDS (mg/L)
26 September 2023,2.0,DAS Gembong Bagian Hilir Jembatan Jl. Raya Ds. Pleret,7.78,2.0,17.0,8.0,7.0,8.0,0.201,350.0,1200.0,226.1
14 Juni 2023,1.0,DAS Welang Bagian Tengah Utara PT. Carma Kulit Kraton,8.16,0.42,40.0,11.0,8.0,0.844,0.449,430.0,1500.0,192.1
26 September 2023,2.0,DAS Welang Bagian Tengah Utara PT. Carma Kulit Kraton,7.9,2.0,17.0,4.0,6.0,5.0,0.123,16.0,430.0,299.5
13 Juni 2023,1.0,DAS Petung Bagian Tengah DAM Sekatan Bu Anis Ds. Bajangan-Gondangwetan,8.27,0.84,17.0,3.0,7.0,0.578,0.298,90.0,430.0,148.7
26 September 2023,2.0,DAS Petung Bagian Tengah DAM Sekatan Bu Anis Ds. Bajangan-Gondangwetan,7.52,0.84,18.0,10.0,7.0,7.0,0.141,90.0,1200.0,186.0
14 Juni 2023,1.0,DAS Petung Bagian Hilir Jembatan Karang Pandaan Kec. Rejoso,8.17,1.0,13.0,5.0,7.0,0.984,0.272,40.0,280.0,201.9
26 September 2023,2.0,DAS Petung Bagian Hilir Jembatan Karang Pandaan Kec. Rejoso,7.62,1.0,19.0,5.0,7.0,7.0,0.137,22.0,1200.0,192.7
12 Juni 2023,1.0,DAS Gembong Bagian Tengah Jembatan Jl. Raya Desa Kurung,8.1,0.84,18.0,2.0,8.0,0.613,0.346,200.0,1200.0,173.3
26 September 2023,2.0,DAS Gembong Bagian Tengah Jembatan Jl. Raya Desa Kurung,7.81,0.84,17.0,1.0,7.0,0.84,0.137,350.0,2900.0,185.3
13 Juni 2023,1.0,DAS Rejoso Bagian Hulu Jembatan Dekat Umbulan,8.06,1.0,16.0,2.0,6.0,0.622,0.0943,90.0,930.0,119.4
29 September 2023,2.0,DAS Rejoso Bagian Hulu Jembatan Dekat Umbulan,7.41,1.0,17.0,12.0,7.0,0.518,0.0198,200.0,1600.0,206.9
12 Juni 2023,1.0,DAS Gembong Bagian Hulu Ds. Tanggulangin Selatan Nestle,8.02,1.0,17.0,5.0,8.0,1.0,0.498,150.0,950.0,226.5
26 September 2023,2.0,DAS Gembong Bagian Hulu Ds. Tanggulangin Selatan Nestle,7.82,0.63,19.0,5.0,8.0,7.0,0.137,750.0,2400.0,177.2
14 Juni 2023,1.0,DAS Rejoso Bagian Tengah Jembatan Jl. Raya Ds. Patuguran-Rejoso,8.12,0.84,15.0,2.0,6.0,0.589,0.861,40.0,430.0,182.8
29 September 2023,2.0,DAS Rejoso Bagian Tengah Jembatan Jl. Raya Ds. Patuguran-Rejoso,7.59,3.3,16.0,2.0,3.8,1.0,0.21,12.0,1200.0,175.9
